Test Name,srthsht
Engineer,
Location,
Test Info,


Time,Elapsed Time,1GASCO,1GASCO2,1GASO2,2GASCO,2GASCO2,2GASO2,3GASCO,3GASCO2,3GASO2,4GASCO,4GASCO2,4GASO2,Event
2021-10-21 12:36:00,00:00:18,0.003025,0.003025,4.222377,0.004634,-0.001482,4.242656,-0.001482,0.004956,4.226562,0.003669,0.003347,4.238150,
2021-10-21 12:36:00,00:00:18,0.004634,0.001415,4.222055,0.005278,-0.000194,4.242013,-0.002125,0.007531,4.217870,0.006888,0.002059,4.241691,
2021-10-21 12:36:01,00:00:18,0.003025,-0.001160,4.223342,0.001415,0.001094,4.243944,-0.002769,0.006244,4.217548,0.005922,-0.001803,4.242334,
2021-10-21 12:36:01,00:00:19,0.005600,-0.002769,4.228815,0.001094,0.003025,4.237184,-0.001803,0.005278,4.214330,0.008497,-0.004700,4.242978,
2021-10-21 12:36:01,00:00:19,0.002381,0.001094,4.226240,0.003991,0.002381,4.236862,0.001415,0.003025,4.217548,0.004956,-0.004700,4.241368,
2021-10-21 12:36:01,00:00:19,0.002381,0.000128,4.223342,-0.000194,0.004634,4.236218,0.005278,0.001094,4.220446,0.002381,0.000772,4.240403,
2021-10-21 12:36:01,00:00:19,0.002059,0.002703,4.224308,0.003025,0.002381,4.237828,0.003991,0.001415,4.223342,0.001737,0.000772,4.239437,
2021-10-21 12:36:02,00:00:20,-0.001160,0.004634,4.221411,0.001737,0.003991,4.237184,0.005278,0.000450,4.225274,0.003669,0.002381,4.237828,
2021-10-21 12:36:02,00:00:20,-0.000516,0.003991,4.221733,0.003347,0.001415,4.237184,0.005600,0.001737,4.225918,-0.001803,0.004312,4.237184,
2021-10-21 12:36:02,00:00:20,-0.001160,0.004956,4.219802,0.005278,0.000772,4.238150,0.004634,0.001094,4.227205,0.002703,0.003347,4.235896,
2021-10-21 12:36:02,00:00:20,0.000772,0.005278,4.222699,0.005600,-0.000516,4.241046,0.001415,0.001415,4.223021,0.000450,0.005278,4.233321,
2021-10-21 12:36:03,00:00:20,0.002381,0.002381,4.224630,0.005922,-0.001160,4.239437,-0.001160,0.001094,4.221733,0.004312,0.002381,4.240725,
2021-10-21 12:36:03,00:00:21,0.003669,-0.000516,4.223664,0.004956,0.000128,4.241046,-0.002125,0.007210,4.214973,0.006244,-0.000194,4.242013,
2021-10-21 12:36:03,00:00:21,0.002703,0.000128,4.224952,0.003991,0.002703,4.239437,0.001737,0.003347,4.220767,0.004312,0.001094,4.240403,
2021-10-21 12:36:03,00:00:21,0.002703,0.000450,4.224630,0.002703,0.003025,4.240081,0.002703,0.003025,4.223664,0.003669,-0.000516,4.240081,
2021-10-21 12:36:03,00:00:21,0.002381,0.001094,4.226883,0.000772,0.003669,4.235896,0.006566,0.001415,4.222377,0.002381,0.001737,4.240403,
2021-10-21 12:36:04,00:00:21,0.002059,0.002381,4.223986,0.001737,0.003025,4.235574,0.006244,-0.000194,4.227849,0.002059,0.003347,4.240725,
2021-10-21 12:36:04,00:00:22,0.001094,0.004956,4.222377,0.001737,0.002381,4.236862,0.007531,-0.000838,4.228815,-0.000516,0.005600,4.240725,
2021-10-21 12:36:04,00:00:22,-0.001482,0.004634,4.223021,0.002703,0.001094,4.240725,0.006244,-0.002447,4.230424,-0.000194,0.004634,4.238472,
2021-10-21 12:36:04,00:00:22,0.000128,0.002381,4.223021,0.004956,0.000128,4.240403,0.004956,-0.000516,4.226562,0.000772,0.004634,4.238150,
2021-10-21 12:36:04,00:00:22,0.000772,0.003347,4.222699,0.005600,0.002381,4.238793,0.002703,0.002381,4.221089,0.002381,0.001094,4.239759,
2021-10-21 12:36:05,00:00:22,0.002703,0.002059,4.223986,0.004956,-0.000194,4.242013,-0.002769,0.003991,4.220767,0.004312,0.001094,4.241368,
2021-10-21 12:36:05,00:00:23,0.003347,-0.000516,4.225918,0.004634,0.001094,4.241691,0.002381,0.001094,4.224308,0.003991,-0.000516,4.241046,
2021-10-21 12:36:05,00:00:23,0.004956,-0.002769,4.227527,0.001737,0.001415,4.241368,-0.001482,0.005278,4.221089,0.007853,-0.001803,4.242334,
2021-10-21 12:36:05,00:00:23,0.003347,-0.000194,4.226562,0.001737,0.002059,4.239115,0.001415,0.006244,4.220767,0.004634,-0.001482,4.241046,
2021-10-21 12:36:05,00:00:23,0.003025,0.000128,4.227849,0.000128,0.003991,4.237184,0.003347,0.002381,4.224308,0.003669,0.000450,4.241368,
2021-10-21 12:36:06,00:00:23,0.001415,0.001415,4.225918,-0.000516,0.003991,4.234931,0.007210,-0.002125,4.223021,0.002381,-0.000838,4.240725,
2021-10-21 12:36:06,00:00:24,0.001737,0.001094,4.225596,0.001737,0.003025,4.235896,0.005278,-0.001803,4.224952,0.000772,0.003991,4.237506,
